player_1,rnd_1,player_2,rnd_2,board,n_rounds,score_1,score_2
crowny-ii,0,crowny-ii,0.0125,,10,0.5,0.5
crowny-ii,0.0125,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.0125,,10,1,0
crowny-ii,0.0125,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.0125,,10,1,0
crowny-ii,0.0125,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.0125,,10,0.5,0.5
crowny-ii,0.0125,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.0125,,10,1,0
crowny-ii,0.0125,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.0125,,10,1,0
crowny-ii,0.0125,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.0125,,10,0.5,0.5
crowny-ii,0.0125,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.0125,,10,0.5,0.5
crowny-ii,0.0125,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.0125,,10,0,1
crowny-ii,0.0125,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.0125,,10,0,1
crowny-ii,0.0125,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.025,,10,0.5,0.5
crowny-ii,0.025,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.025,,10,1,0
crowny-ii,0.025,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.025,,10,0.5,0.5
crowny-ii,0.025,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.025,,10,1,0
crowny-ii,0.025,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.025,,10,0.5,0.5
crowny-ii,0.025,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.025,,10,0.5,0.5
crowny-ii,0.025,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.025,,10,0.5,0.5
crowny-ii,0.025,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.025,,10,0.5,0.5
crowny-ii,0.025,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.025,,10,1,0
crowny-ii,0.025,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.025,,10,1,0
crowny-ii,0.025,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.05,,10,0.5,0.5
crowny-ii,0.05,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.05,,10,0,1
crowny-ii,0.05,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.05,,10,0,1
crowny-ii,0.05,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.05,,10,0.5,0.5
crowny-ii,0.05,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.05,,10,1,0
crowny-ii,0.05,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.05,,10,1,0
crowny-ii,0.05,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.05,,10,0.5,0.5
crowny-ii,0.05,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.05,,10,0,1
crowny-ii,0.05,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.05,,10,0,1
crowny-ii,0.05,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.05,,10,0,1
crowny-ii,0.05,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.1,,10,0.5,0.5
crowny-ii,0.1,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.1,,10,0.5,0.5
crowny-ii,0.1,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.1,,10,0.5,0.5
crowny-ii,0.1,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.1,,10,0.5,0.5
crowny-ii,0.1,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.1,,10,0.5,0.5
crowny-ii,0.1,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.1,,10,0.5,0.5
crowny-ii,0.1,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.1,,10,1,0
crowny-ii,0.1,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.1,,10,1,0
crowny-ii,0.1,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.1,,10,1,0
crowny-ii,0.1,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.1,,10,0.5,0.5
crowny-ii,0.1,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.2,,10,0,1
crowny-ii,0.2,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.2,,10,1,0
crowny-ii,0.2,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.2,,10,0.5,0.5
crowny-ii,0.2,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.2,,10,1,0
crowny-ii,0.2,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.2,,10,1,0
crowny-ii,0.2,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.2,,10,1,0
crowny-ii,0.2,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.2,,10,0.5,0.5
crowny-ii,0.2,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.2,,10,1,0
crowny-ii,0.2,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.2,,10,1,0
crowny-ii,0.2,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.2,,10,1,0
crowny-ii,0.2,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.4,,10,0.5,0.5
crowny-ii,0.4,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.4,,10,1,0
crowny-ii,0.4,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.4,,10,1,0
crowny-ii,0.4,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.4,,10,1,0
crowny-ii,0.4,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.4,,10,0.5,0.5
crowny-ii,0.4,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.4,,10,0.5,0.5
crowny-ii,0.4,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.4,,10,1,0
crowny-ii,0.4,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.4,,10,1,0
crowny-ii,0.4,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.4,,10,1,0
crowny-ii,0.4,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.4,,10,1,0
crowny-ii,0.4,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.8,,10,1,0
crowny-ii,0.8,crowny-ii,0,,10,1,0
crowny-ii,0,crowny-ii,0.8,,10,1,0
crowny-ii,0.8,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.8,,10,1,0
crowny-ii,0.8,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.8,,10,1,0
crowny-ii,0.8,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.8,,10,1,0
crowny-ii,0.8,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.8,,10,1,0
crowny-ii,0.8,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.8,,10,1,0
crowny-ii,0.8,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.8,,10,1,0
crowny-ii,0.8,crowny-ii,0,,10,0,1
crowny-ii,0,crowny-ii,0.8,,10,0,1
crowny-ii,0.8,crowny-ii,0,,10,0.5,0.5
crowny-ii,0,crowny-ii,0.8,,10,1,0
crowny-ii,0.8,crowny-ii,0,,10,0,1
